ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
DUTPU,DUTPU,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-24.4933444444,17.8014166667,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
EGMAS,EGMAS,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-22.9964527778,18.1687638889,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
EGPAD,EGPAD,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-20.1016666667,18.4816666667,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
EGRED,EGRED,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-23.4918944444,17.6374472222,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
EGRIX,EGRIX,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-21.0864916667,14.0118833333,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
EKBOL,EKBOL,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-20.3723166667,18.8960333333,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
EPMAG,EPMAG,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-17.5800000000,23.6800000000,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
EPNON,EPNON,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-17.8783333333,20.3016666667,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
EPRIS,EPRIS,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-23.9501333333,18.4090722222,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
EPSAG,EPSAG,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-24.4444194444,17.3336805556,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,169
EPTAR,EPTAR,SIGNIFICANT_POINT,NAMIBIA / FYWH FIR,-18.0650000000,21.7199972222,NCAA NAMIBIA,2025-08-07,https://www.ncaa.com.na/index.php/document-downloads/industrial-documents/aim-publications/enroute-2026/download,170
