ident,name,point_type,region,lat,lon,provider,effective_date,source_url,source_page
LURIS,LURIS,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,42.4236111111,45.7686111111,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
MAQQO,MAQQO,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,42.0755555556,41.6955555556,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
NOLGA,NOLGA,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.4280555556,42.9788888889,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
ODILI,ODILI,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.7213888889,42.0944444444,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
OGEVI,OGEVI,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.1347222222,43.7869444444,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
PALLE,PALLE,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.4763888889,44.3236111111,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
PORZA,PORZA,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.9522222222,40.8272222222,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
ROLIN,ROLIN,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.7991666667,40.6563888889,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
SARPI,SARPI,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.5488888889,41.4497222222,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
SOSED,SOSED,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,42.1097222222,41.0041666667,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
TAGAR,TAGAR,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,42.2783333333,43.0694444444,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
TAVRO,TAVRO,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.1913888889,44.5025000000,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
TAVSA,TAVSA,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,42.5000000000,44.2488888889,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
TETRO,TETRO,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.6725000000,42.8597222222,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
TISOT,TISOT,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.2680555556,44.8858333333,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
TUZZA,TUZZA,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.8800000000,41.9350000000,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
VIZRO,VIZRO,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,42.1191666667,43.3052777778,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
ZAGOT,ZAGOT,SIGNIFICANT_POINT,GEORGIA / UGGG FIR,41.7850000000,44.1363888889,AIRNAV GEORGIA,2025-12-25,https://airnav.ge/eaip/2025-12-25-000000/html/eAIP/UG-ENR-4.4-en-GB.html,
