name,icao,region,elev_ft,rwy_m,rwy_desc,surface,fuel,lat,lon,remarks,source
Lisbon Humberto Delgado Airport,LPPT,PT,374.0,3810.0,02/20,ASP,,38.7813,-9.13592,,AIP
Montreal / Pierre Elliott Trudeau International Airport,CYUL,CA,118.0,3353.0,06L/24R,ASP,,45.467837,-73.742294,,AIP
Nashville International Airport,KBNA,US,599.0,3362.0,13/31,ASP,,36.1245,-86.6782,,AIP
Tampa International Airport,KTPA,US,26.0,3353.0,19R/01L,CON,,27.9755,-82.533203,,AIP
Hong Kong International Airport,VHHH,HK,28.0,3800.0,07C/25C,ASP,,22.31184,113.914862,,AIP
Stockholm-Arlanda Airport,ESSA,SE,137.0,3301.0,01L/19R,ASP,,59.64849,17.928829,,AIP
Václav Havel Airport Prague,LKPR,CZ,1247.0,3715.0,06/24,CON,,50.100874,14.259911,,AIP
Cincinnati Northern Kentucky International Airport,KCVG,US,896.0,3658.0,09/27,PEM,,39.048801,-84.667801,,AIP
Sydney Kingsford Smith International Airport,YSSY,AU,21.0,3962.0,16R/34L,ASP,,-33.946098,151.177002,,AIP
Suvarnabhumi Airport,VTBS,TH,5.0,4000.0,01/19,ASP,,13.6811,100.747002,,AIP
Cancún International Airport,MMUN,MX,22.0,3500.0,12R/30L,ASP,,21.040817,-86.87347,,AIP
Milan Malpensa International Airport,LIMC,IT,768.0,3920.0,17L/35R,ASP,,45.6306,8.72811,,AIP
Austin Bergstrom International Airport,KAUS,US,542.0,3734.0,18R/36L,CON,,30.197535,-97.662015,,AIP
Athens Eleftherios Venizelos International Airport,LGAV,GR,308.0,4000.0,03R/21L,ASP,,37.936401,23.9445,,AIP
Raleigh-Durham International Airport,KRDU,US,435.0,3048.0,05L/23R,CON,,35.878659,-78.7873,,AIP
Budapest Liszt Ferenc International Airport,LHBP,HU,495.0,3707.0,13L/31R,CON,,47.43018,19.262393,,AIP
Keflavik International Airport,BIKF,IS,171.0,3065.0,10/28,ASP,,63.985001,-22.6056,,AIP
Pittsburgh International Airport,KPIT,US,1203.0,3505.0,10R/28L,CON,,40.491501,-80.232903,,AIP
Oslo-Gardermoen International Airport,ENGM,NO,681.0,3600.0,01L/19R,ASP,,60.193901,11.1004,,AIP
Manchester Airport,EGCC,GB,257.0,3050.0,05R/23L,CON,,53.349375,-2.279521,,AIP
Helsinki Vantaa Airport,EFHK,FI,179.0,3440.0,04R/22L,ASP,,60.318363,24.963341,,AIP
